seed,grounding_freq,box_style,task_group,task_id,task_success_rate
2,1,filled,libero_10,4,0.0000
2,1,filled,libero_10,5,70.0000
2,1,filled,libero_10,6,70.0000
2,1,filled,libero_10,7,20.0000
2,1,filled,libero_10,8,10.0000
2,1,filled,libero_10,9,50.0000
0,1,mask,libero_10,0,0.0000
0,1,mask,libero_10,1,70.0000
0,1,mask,libero_10,2,50.0000
0,1,mask,libero_10,3,100.0000
0,1,mask,libero_10,4,0.0000
0,1,mask,libero_10,5,70.0000
0,1,mask,libero_10,6,60.0000
0,1,mask,libero_10,7,30.0000
0,1,mask,libero_10,8,10.0000
0,1,mask,libero_10,9,60.0000
1,1,mask,libero_10,0,10.0000
1,1,mask,libero_10,1,70.0000
1,1,mask,libero_10,2,40.0000
1,1,mask,libero_10,3,90.0000
1,1,mask,libero_10,4,10.0000
1,1,mask,libero_10,5,70.0000
1,1,mask,libero_10,6,100.0000
1,1,mask,libero_10,7,80.0000
1,1,mask,libero_10,8,10.0000
1,1,mask,libero_10,9,50.0000
2,1,mask,libero_10,0,30.0000
2,1,mask,libero_10,1,50.0000
2,1,mask,libero_10,2,50.0000
2,1,mask,libero_10,3,80.0000
2,1,mask,libero_10,4,20.0000
2,1,mask,libero_10,5,90.0000
2,1,mask,libero_10,6,90.0000
2,1,mask,libero_10,7,30.0000
2,1,mask,libero_10,8,10.0000
2,1,mask,libero_10,9,30.0000
0,5,edge,libero_10,0,0.0000
0,5,edge,libero_10,1,70.0000
0,5,edge,libero_10,2,50.0000
0,5,edge,libero_10,3,100.0000
0,5,edge,libero_10,4,0.0000
0,5,edge,libero_10,5,90.0000
0,5,edge,libero_10,6,80.0000
0,5,edge,libero_10,7,20.0000
0,5,edge,libero_10,8,20.0000
0,5,edge,libero_10,9,50.0000
1,5,edge,libero_10,0,10.0000
1,5,edge,libero_10,1,70.0000
1,5,edge,libero_10,2,60.0000
1,5,edge,libero_10,3,100.0000
1,5,edge,libero_10,4,0.0000
1,5,edge,libero_10,5,90.0000
1,5,edge,libero_10,6,40.0000
1,5,edge,libero_10,7,50.0000
1,5,edge,libero_10,8,10.0000
1,5,edge,libero_10,9,50.0000
2,5,edge,libero_10,0,30.0000
2,5,edge,libero_10,1,50.0000
2,5,edge,libero_10,2,50.0000
2,5,edge,libero_10,3,90.0000
2,5,edge,libero_10,4,10.0000
2,5,edge,libero_10,5,70.0000
2,5,edge,libero_10,6,70.0000
2,5,edge,libero_10,7,40.0000
2,5,edge,libero_10,8,20.0000
2,5,edge,libero_10,9,40.0000
0,5,filled,libero_10,0,0.0000
0,5,filled,libero_10,1,70.0000
0,5,filled,libero_10,2,40.0000
0,5,filled,libero_10,3,90.0000
0,5,filled,libero_10,4,10.0000
0,5,filled,libero_10,5,60.0000
0,5,filled,libero_10,6,40.0000
0,5,filled,libero_10,7,50.0000
0,5,filled,libero_10,8,20.0000
0,5,filled,libero_10,9,60.0000
1,5,filled,libero_10,0,10.0000
1,5,filled,libero_10,1,70.0000
1,5,filled,libero_10,2,40.0000
1,5,filled,libero_10,3,100.0000
1,5,filled,libero_10,4,20.0000
1,5,filled,libero_10,5,80.0000
1,5,filled,libero_10,6,30.0000
1,5,filled,libero_10,7,40.0000
1,5,filled,libero_10,8,20.0000
1,5,filled,libero_10,9,80.0000
2,5,filled,libero_10,0,30.0000
2,5,filled,libero_10,1,50.0000
2,5,filled,libero_10,2,50.0000
2,5,filled,libero_10,3,80.0000
2,5,filled,libero_10,4,10.0000
2,5,filled,libero_10,5,70.0000
2,5,filled,libero_10,6,70.0000
2,5,filled,libero_10,7,40.0000
2,5,filled,libero_10,8,30.0000
2,5,filled,libero_10,9,30.0000
0,5,mask,libero_10,0,0.0000
0,5,mask,libero_10,1,70.0000
0,5,mask,libero_10,2,30.0000
0,5,mask,libero_10,3,90.0000
0,5,mask,libero_10,4,0.0000
0,5,mask,libero_10,5,80.0000
0,5,mask,libero_10,6,70.0000
0,5,mask,libero_10,7,60.0000
0,5,mask,libero_10,8,0.0000
0,5,mask,libero_10,9,40.0000
1,5,mask,libero_10,0,10.0000
1,5,mask,libero_10,1,70.0000
1,5,mask,libero_10,2,70.0000
1,5,mask,libero_10,3,80.0000
1,5,mask,libero_10,4,10.0000
1,5,mask,libero_10,5,90.0000
1,5,mask,libero_10,6,50.0000
1,5,mask,libero_10,7,40.0000
1,5,mask,libero_10,8,20.0000
1,5,mask,libero_10,9,30.0000
2,5,mask,libero_10,0,30.0000
2,5,mask,libero_10,1,50.0000
2,5,mask,libero_10,2,40.0000
2,5,mask,libero_10,3,80.0000
2,5,mask,libero_10,4,0.0000
2,5,mask,libero_10,5,70.0000
2,5,mask,libero_10,6,70.0000
2,5,mask,libero_10,7,20.0000
2,5,mask,libero_10,8,10.0000
2,5,mask,libero_10,9,50.0000
